Wout van Aert, Visma-Lease a Bike, BEL
Mathieu van der Poel, Alpecin-Deceuninck, NED
Tadej Pogačar, UAE Team Emirates, SLO
Jonas Vingegaard, Visma-Lease a Bike, DEN
Remco Evenepoel, Soudal Quick-Step, BEL
Jasper Philipsen, Alpecin-Deceuninck, BEL
Mads Pedersen, Lidl-Trek, DEN
Dylan van Baarle, Visma-Lease a Bike, NED
Filippo Ganna, INEOS Grenadiers, ITA
Tim Merlier, Soudal Quick-Step, BEL
Arnaud De Lie, Lotto Dstny, BEL
Olav Kooij, Visma-Lease a Bike, NED
Alexander Kristoff, Uno-X Mobility, NOR
Jasper Stuyven, Lidl-Trek, BEL
Stefan Küng, Groupama-FDJ, SUI
Yves Lampaert, Soudal Quick-Step, BEL
Kasper Asgreen, Soudal Quick-Step, DEN
Sep Vanmarcke, Israel-Premier Tech, BEL
Tom Pidcock, INEOS Grenadiers, GBR
Julian Alaphilippe, Soudal Quick-Step, FRA
Christophe Laporte, Visma-Lease a Bike, FRA
Matej Mohorič, Bahrain Victorious, SLO
Biniam Girmay, Intermarché-Wanty, ERI
Fabio Jakobsen, dsm-firmenich PostNL, NED
Sam Bennett, Decathlon AG2R La Mondiale, IRL
Caleb Ewan, Jayco AlUla, AUS
Marc Hirschi, UAE Team Emirates, SUI
Tiesj Benoot, Visma-Lease a Bike, BEL
Nils Politt, UAE Team Emirates, GER
John Degenkolb, dsm-firmenich PostNL, GER
Florian Sénéchal, Soudal Quick-Step, FRA
Michael Matthews, Jayco AlUla, AUS
Matteo Trentin, Tudor Pro Cycling, ITA
Jhonatan Narváez, INEOS Grenadiers, ECU
Alberto Bettiol, Astana Qazaqstan, ITA
Greg Van Avermaet, AG2R Citroën, BEL
Søren Kragh Andersen, Alpecin-Deceuninck, DEN
Quinn Simmons, Lidl-Trek, USA
Gianni Vermeersch, Alpecin-Deceuninck, BEL
Tim Declercq, Lidl-Trek, BEL
Victor Campenaerts, Lotto Dstny, BEL
Zdeněk Štybar, Jayco AlUla, CZE
Luke Rowe, INEOS Grenadiers, GBR
Edoardo Affini, Visma-Lease a Bike, ITA
Nathan Van Hooydonck, Visma-Lease a Bike, BEL
Laurence Pithie, Groupama-FDJ, NZL
Alex Aranburu, Movistar, ESP
Ethan Vernon, Israel-Premier Tech, GBR
Ben Turner, INEOS Grenadiers, GBR
Magnus Cort, Uno-X Mobility, DEN
